Sample,Colony,Treatment,Level,Replicate,Mites,Date
1,C1,Control,Control,1,60,2/16/18-2/20/18
1,C2,Control,Control,2,9,
1,C3,Control,Control,3,101,
1,FL1,Flow,Low,4,15,
1,FL2,Flow,Low,5,35,
1,FL3,Flow,Low,6,407,
1,FM1,Fmedium,Medium,7,24,
1,FM2,Fmedium,Medium,8,41,
1,FM3,Fmedium,Medium,9,38,
1,FH1,Fhigh,High,10,19,
1,FH2,Fhigh,High,11,69,
1,FH3,Fhigh,High,12,51,
1,DL1,Dlow,Low,13,68,
1,DL2,Dlow,Low,14,38,
1,DL3,Dlow,Low,15,48,
1,DM1,Dmedium,Medium,16,61,
1,DM2,Dmedium,Medium,17,19,
1,DM3,Dmedium,Medium,18,76,
1,DH1,Dhigh,High,19,48,
1,DH2,Dhigh,High,20,117,
1,DH3,Dhigh,High,21,90,
2,C1,Control,Control,1,91,2/22/18-2/26/18
2,C2,Control,Control,2,17,
2,C3,Control,Control,3,85,
2,FL1,Flow,Low,4,47,
2,FL2,Flow,Low,5,68,
2,FL3,Flow,Low,6,321,
2,FM1,Fmedium,Medium,7,31,
2,FM2,Fmedium,Medium,8,93,
2,FM3,Fmedium,Medium,9,58,
2,FH1,Fhigh,High,10,100,
2,FH2,Fhigh,High,11,489,
2,FH3,Fhigh,High,12,237,
2,DL1,Dlow,Low,13,66,
2,DL2,Dlow,Low,14,58,
2,DL3,Dlow,Low,15,114,
2,DM1,Dmedium,Medium,16,203,
2,DM2,Dmedium,Medium,17,73,
2,DM3,Dmedium,Medium,18,97,
2,DH1,Dhigh,High,19,239,
2,DH2,Dhigh,High,20,430,
2,DH3,Dhigh,High,21,819,
3,C1,Control,Control,1,44,
3,C2,Control,Control,2,11,
3,C3,Control,Control,3,78,
3,FL1,Flow,Low,4,28,
3,FL2,Flow,Low,5,68,
3,FL3,Flow,Low,6,427,
3,FM1,Fmedium,Medium,7,116,
3,FM2,Fmedium,Medium,8,60,
3,FM3,Fmedium,Medium,9,47,
3,FH1,Fhigh,High,10,36,
3,FH2,Fhigh,High,11,82,
3,FH3,Fhigh,High,12,105,
3,DL1,Dlow,Low,13,69,
3,DL2,Dlow,Low,14,44,
3,DL3,Dlow,Low,15,50,
3,DM1,Dmedium,Medium,16,71,
3,DM2,Dmedium,Medium,17,47,
3,DM3,Dmedium,Medium,18,70,
3,DH1,Dhigh,High,19,170,
3,DH2,Dhigh,High,20,239,
3,DH3,Dhigh,High,21,491,
